ID de actividad,Fecha de la actividad,Nombre de la actividad,Tipo de actividad,Descripción de la actividad,Tiempo transcurrido,Distancia,Esfuerzo Relativo,Desplazamiento al trabajo,Equipación de la actividad,Nombre del archivo
2366609860,14 may. 2019 7:53:55,Carretera de Toledo,Bicicleta,,11842,101.24,,false,,activities/2517346549.gpx.gz
2369248328,15 may. 2019 7:09:18,Tabla de la Yedra,Bicicleta,,9449,77.73,,false,,activities/2520059558.gpx.gz
2399338005,22 may. 2019 15:50:41,Tarde de Zurdilla,Bicicleta,Canal - Pnos Altos,11567,76.14,,false,,activities/2551112442.gpx.gz
2399338140,24 may. 2019 15:31:44,Tarde de Zurdilla,Bicicleta,Campo Mojado - Las Cruces,10359,64.36,,false,,activities/2551112681.gpx.gz
2413953978,27 may. 2019 15:25:31,Tarde de Zurdilla,Bicicleta,Fuente el Fresno,12649,72.83,,false,,activities/2566248583.gpx.gz
2413954191,31 may. 2019 15:34:15,Malagón - Daimiel,Bicicleta,,9622,80.34,,false,,activities/2566248787.gpx.gz
2418031013,2 jun. 2019 7:55:44,Porzuna - La Perdiguera,Bicicleta,,10906,88.91,,false,,activities/2570489637.gpx.gz
2420907217,3 jun. 2019 15:42:25,Alcolea - Corral de Calatrava,Bicicleta,,7668,63.54,,false,,activities/2573474145.gpx.gz
2426464475,5 jun. 2019 15:30:53,Tarde de Zurdilla,Bicicleta,Alcolea - La Posadilla,10889,66.39,,false,,activities/2579197216.gpx.gz
2456139745,16 jun. 2019 6:47:33,Cruz de Piedra,Bicicleta,,12073,70.66,,false,,activities/2609915902.gpx.gz
2456139799,14 jun. 2019 15:33:47,Tarde de Zurdilla,Bicicleta,,10530,57.13,,false,,activities/2609915779.gpx.gz
2477425128,24 jun. 2019 15:31:54,Día de estudio,Bicicleta,Picón - Corral,8600,70.13,,false,,activities/2631968241.gpx.gz
2477434939,21 jun. 2019 15:35:32,Terapia de catarro,Bicicleta,Corral - Picón,8522,67.11,,false,,activities/2631967842.gpx.gz
